L,c,omega_G_1,omega_a_1,omega_G_2,omega_a_2,omega_G_3,omega_a_3,omega_G_4,omega_a_4,omega_G_5,omega_a_5,omega_mp_1,L_k1,alpha_k1,omega_a_basket_1,L_k2,alpha_k2,omega_a_basket_2,R_1,R_2,R_3,R_4,R_5,b_1_k1,alpha_1_k1,b_2_k1,alpha_2_k1,b_3_k1,alpha_3_k1,b_3_k2,alpha_3_k2,b_4_k2,alpha_4_k2,b_5_k2,alpha_5_k2
0.9329708527262736,1.0,-0.016307116828054115,-0.0018683921956761302,0.02122768668312993,0.004649345026466524,-0.018081616789316437,-0.05213161204043934,0.008350014202283021,0.01840417237064237,0.011655590823101665,0.030175918317286603,0.06289222620093031,1.333446552577733,0.4997624534944465,-0.023702288254389605,0.6221160539627704,0.5002375465055535,-0.00473783953582982,0.9365711253995033,0.9363022506211532,0.9070240074756297,0.8689742529097414,0.8681731224044823,2.061261514518125,0.33613635478649306,2.002122768668313,0.33635361269389785,0.05231703669900372,0.32751003251960903,0.8811744137422026,0.3226829229267138,0.5125250213034245,0.33689277664464645,0.5174833862346525,0.3404243004286397
0.9255719702245973,1.0,-0.013659721438779812,-0.0152648837108828,0.017551264746041483,-0.008459268927833783,-0.028911367732106515,-0.0557199560942017,0.0013263823116624763,0.023548490212246635,0.0066373300659231735,0.029949534581591,0.07254507092471452,1.3327366127335905,0.49683077821383836,-0.03702578488102974,0.6141983310860806,0.5031692217861616,0.00658966271055086,0.9362192012026136,0.9359098653842605,0.9052004041355791,0.8643001503320297,0.8646136375494847,2.0711790987808367,0.33618365868863415,2.0017551264746043,0.3364105125147358,0.043428085815730676,0.32740582879663,0.8782445697131335,0.32179242462126045,0.5019895734674937,0.3381436310339681,0.5099559950988848,0.3400639443447714
0.9322846976004062,1.0,-0.002016024686309915,-0.00800279911523613,0.02190532117363896,-0.02201286500921286,-0.030510393952803652,-0.055997542054844716,0.006253190910128333,0.0231756237396289,0.01951608644299286,0.024660371570330054,0.09656808580939141,1.3388368793585754,0.4986064913116829,-0.015192019915257034,0.6189597486252764,0.5013935086883171,0.0031695384627712297,0.9368907651210168,0.9366443110378997,0.9054280460186536,0.8672057629188474,0.8698436074347278,2.0963664833407605,0.33651105530058845,2.002190532117364,0.3360440531041226,0.038936557630192103,0.3274448915952889,0.8583932777698557,0.32232778468513246,0.5093797863651925,0.3386133954828286,0.5292741296644893,0.3390588198320389
0.9318704009635423,1.0,-0.012688198643903335,-0.005287673707218259,0.009407828343653774,-0.0221538303325667,-0.021505693523165517,-0.05818192865251511,0.010443007073138062,0.030498401482431853,0.027298071468131145,0.0016270651210527863,0.17593133002654088,1.350209659855423,0.49662438655483804,-0.004620154573514255,0.6134176094962179,0.503375613445162,0.015723028582431374,0.9377592441022389,0.937237733477975,0.9017687765362439,0.8655836792114701,0.8728707431999726,2.1746625101621504,0.33669431251311893,2.0009407828343653,0.336132107292274,0.008070386346508113,0.327173580194607,0.8116971449223179,0.3236561279338165,0.5156645106097071,0.34250263648729856,0.5409471072021967,0.33384123557888484
0.9304961852243927,1.0,-0.01878618707584653,0.007043174675214885,0.024328543088103578,-0.016668049613468936,-0.012167888161808187,-0.05454713624817042,0.0025617537078346866,0.027462410743370885,0.029874045112361514,-0.006311157088631802,0.16464855666702957,1.3466771529718113,0.4956015512590922,0.0016303083465977284,0.6145321601587885,0.5043984487409078,0.022399820791188386,0.9376037994347214,0.9371831520435325,0.9016218132886001,0.8633803494312009,0.8735241220978694,2.1627699379594447,0.3367054453356083,2.00243285430881,0.3359150711926522,0.008535091361395741,0.3273794834717394,0.824382774339213,0.325157415051396,0.503842630561752,0.34248732764910234,0.5448110676685423,0.33235525729950155
0.9142960657354984,1.0,-0.010291020658316481,-0.0014760849435133993,0.025798752497953166,-0.016367812277520512,-0.012728898824545651,-0.04738789131709209,-0.02366247497013369,0.009452873097010643,0.019392595236975514,-0.020484376952485166,0.17389976717433664,1.340644503515941,0.4913950768691307,0.004764698716630104,0.5976302717810718,0.5086049231308692,0.04421579033350402,0.9364709802310124,0.9359475401654043,0.8970139339349708,0.8537481861023543,0.8667577122946356,2.1728706651085052,0.33611505665528835,2.002579875249795,0.3356186657441548,-0.008270608530897866,0.32826627760055677,0.831825061591652,0.3291711624614261,0.46450628754479945,0.3399050062767113,0.5290888928554632,0.33092383126186253
0.915706000365786,1.0,-0.01575148834160031,-0.005391591636205642,0.02239724508257344,-0.025570723731804704,0.003019582192170944,-0.034067883243466525,-0.012609674315033837,0.006731959568282132,0.01729392572218217,-0.007156591308257604,0.21048956398862614,1.3458740641163576,0.4925172312458631,-0.009680008732815992,0.5954263963061565,0.5074827687541369,0.03499384158748053,0.9369196600566339,0.9363000718973596,0.8957553403893899,0.8577446575384268,0.8658971121298831,2.208914415154466,0.33539029951863025,2.0022397245082573,0.3347176617821103,-0.014724260603987724,0.32989203869925937,0.8048386130537957,0.3295904761469457,0.48108548852744926,0.3372880445580081,0.5259408885832733,0.33312147929504615
0.9233592632913066,1.0,-0.023511445106734415,0.00270191913172663,0.02740831915469139,-0.013435288032907926,-0.011308214424334006,-0.029234984590580937,-0.0007233383004842386,-0.007096948495365066,0.008833973450785338,0.004433044797332609,0.11198713973183257,1.3303564317908845,0.49549389595480337,-0.014851827997806724,0.6136406239782994,0.5045061040451967,0.01881756322653158,0.9364752735189695,0.9361972845464583,0.9010542900491428,0.8651629775569293,0.8657257061609865,2.109635995221159,0.33516682276943627,2.002740831915469,0.33462891586394844,0.022589244636833025,0.33020426136661524,0.8631619727464676,0.3303513920819609,0.49891499254927363,0.33309480496511484,0.513250960176178,0.3365538029529242
0.9177956682195055,1.0,-0.035358646286109185,-0.00935885474987009,0.004473688161293381,-0.029173870130812327,0.010307483388052967,-0.025348139256428783,-0.00387439814194922,-0.010088832229994994,0.0034206371019946955,0.003819529679626225,0.17398226063138733,1.3396464748481376,0.4965976493566297,-0.02511437281691959,0.5982059797877689,0.5034023506433702,0.01073316001262159,0.9363102759405171,0.9358246048120367,0.897537356558085,0.863407861079603,0.8631839944034922,2.1704463960027764,0.3348577428545913,2.0004473688161295,0.3341972423418932,0.004898731972487094,0.33094501480351546,0.8231805040737361,0.3311438036709892,0.49418840278707615,0.3323418438780622,0.505130955652992,0.3365143524509486
0.920199899207584,1.0,-0.03088775220805597,-0.006626185864893531,0.011415937155456891,-0.026757856825428385,0.013575831913285473,-0.0299536257121326,-0.0013367633169284196,-0.020445530037118416,-0.00020255073124893826,0.0012183261871894398,0.12732839283988778,1.3317799378929294,0.4958747170196091,-0.033654764570838186,0.607494942847385,0.5041252829803908,0.012212723759244828,0.9361848574247656,0.9358762686147033,0.8997160165752951,0.8652477912177554,0.8627182458183343,2.1242396176190823,0.33514748459618116,2.0011415937155457,0.3344764288974966,0.017256011695793397,0.33037608650632216,0.8581307618469758,0.3319278730836448,0.4979948550246074,0.3307864850245314,0.4996961739031266,0.33728564189182375
